stopword removal,score,Sentiment
memudahkan utk pergi kantor cabang utk pembuatan kartu debit yg hilanglgsg kirim via expedisibest pokoknya,5,Positif
gak menu transaksi transfer struknya print edit print edit ongkos jasanya,5,Positif
livin aplikasi knapa gak tranfer top up gak,1,Negatif
terimakasih livin,5,Positif
login aplikasi lelet banget udh update bagus pakai bca,1,Negatif
terinstal,3,Positif
aplikasi lemot stabil susah dibuka,2,Negatif
dibuka banget,2,Negatif
membuka aplikasi muncul notif berhasil terhubung mengecek inisilahkan coba sdh mencoba aplikasi bank yg lancar lancar tolong perbaiki livin mandiri,2,Negatif
ak transaksi potonganmulai dana bayar shopee sllu ad potongan kmren ngk kek gtuuu,4,Positif
kebanyakan pemeliharaan sistem gajelas banget bank swasta sebelah aja ga seribet dah heran,2,Negatif
setia mandiri,5,Positif
livin by mandri jelek,1,Negatif
livin mandiri pemeliharaan malam mengganggu,3,Positif
pinjaman ksm livin lunas gx muncul iya,5,Positif
daftar livin kemarin layanan perbarui trus,1,Negatif
taun biaa mengunakan aplikaai gara gara no hp yg hilang udah konfirmasi cs bank tungu sebulan taun coba pake no hp yg yg ajukan paketidak masuk livin solusi payah payah,1,Negatif
tolong perbaiki aplikasi dibuka nge bug,1,Negatif
lupa password no kartu kirim email saldo isi mohon bantuannya dah beres kasih bintang,3,Positif
membantuterutama transaksi bidang digital,5,Positif
lancar,5,Positif
yaa ksm mandiri gaada,5,Positif
hebat,4,Positif
sebulan x potongantrus pakai admin lg,2,Negatif
verifikasi wajah allah udah ampe pegel ga sumpah jelek bgt udh pake wifi data ga berhasil cape kedip doang aahhhhhhhh kacau ni aplikasi,1,Negatif
maaf min gimana login tendang kali ga masukperbaiki kasih bintang,1,Negatif
bagus,5,Positif
login ko ga,3,Positif
bank ribetrek diblokir dibuka cabang pembuka kalo cab pembuka makasar domisili jakarta dateng makasar ga onlentahun manualbloon,1,Negatif
aman cepat kartu skrg tunggu skrg kartu nyaa,1,Negatif
mandiri bank meresahkan ribet menghawatirkan dibanding bank salah contoh ganti hp kedip jutaan kali gagal muka asli muka gw aneh meresahkan,1,Negatif
login ga woi memori jaringan kuat stepnya udah kode otp habis aplikasi udah minggu,1,Negatif
susah verifikasi muka udah x verifikasi muka gagal udah geser kesana kesini kesitu alhasil gagal mutusin uninstall ganti bank ga susah daftarnya,2,Negatif
livin by mandiri gk buka,4,Positif
kartu debit trus pas hp reset download lgi aplikasi livin by mandiri kartu debit gaada pilihan masuk rekening yg,1,Negatif
potongan buktiriwayat transaksisampe segitunyagtu g sampe haji rugi,1,Negatif
ubah password yaaa tolong,5,Positif
pengiriman kartu debit daftar livin pakek ekspedisi anteraja ribet seminggu macet agen si satria takut dingin ganti aja udah,1,Negatif
keamanan livin tingkatkanjgn eror verifikasi ulang,1,Negatif
aplikasih buruksaya pembayaran qris satatus pembayaran tundadan saldo ditahandiauruh lapor nunggu kerjatapi kenyataan nya kerja saldo ga kembaliinga pakaj mandiri dah yg,1,Negatif
mudah membantu,5,Positif
gak login layanan tdk tersedia utk mohon diperbaiki yah,1,Negatif
mudah gunakandompet digital,5,Positif
aplikasi plin plan udah logintdk button login gimana tol,1,Negatif
payah eror parah k bnyk eror,1,Negatif
suka erorrr haduhhh,1,Negatif
buka rekening kemarin gak mulu ngstuck wali bilangnya berhasil terhubung bangett,1,Negatif
ruwet login udah update,1,Negatif
aplikasi bagus saldo nda bagus,5,Positif
tanyakenapa verifikasi wajah,3,Positif
update nggak buka kesal banget,1,Negatif
pakai ganti hp verifikasi wajah tambahan verifikasi cabang terdekat membantu,1,Negatif
cs ramah,5,Positif
login langsung layar hp lancar aja upgrade nggak login menyusahkan yg nggak bolak kantor cabangnya,1,Negatif
akun login susah aplikasi eror g selesai selesai,1,Negatif
klo top up bayar bayar adminnya,1,Negatif
aplikasi nya mudah layanan nasabah via telpon lumayan menguras pulsa seluler tersedia layanan call mandiri aplikasi,3,Positif
transaksi aja livin kena admin bayar va kena admin beli pulsapaket d livin adminya dlu gratis,1,Negatif
senang dgn aplikasi,5,Positif
aplikasi dibuka menghapus aplikasi keamanan transaksi tau aplikasi dihapus,2,Negatif
benersan,4,Positif
msuk loh in,3,Positif
pemotongan admin rp x,1,Negatif
scand wajah kedip berkali kali gak kebaca tolong kasih login,1,Negatif
suka alhamdulillah membantu klo cek bansossetting kartu gimana yahmsh bingungtrs bikin rekening bsi lwt aplikasi yabtw buka rekening blm sempet setoran eeh keblokir tu rekening ga buka blokir kantor cabang thanks solution,5,Positif
kecewa udh thm mengunakan livin kali kecewa kartu mbanking terblokir normal mintai keterangan livin kagak,1,Negatif
aktivitas mendadak tf gak pas jam sampe jam pagi nunggu nyesel pake ni bank layanan batasimending bsi mobile banking mending gausah mobil banking klo ga pake jam urgen gimana pas org uang jam sgitu nunggu kelaparan nunggu parah skit nya karna ga bayar administrasi,1,Negatif
dikit dikit gangguan udh mh gangguannya,1,Negatif
mantapa,5,Positif
biaya administrasi kartu debit ko potong x,1,Negatif
tolong pemeliharaan sistem jam orang tidur jam pagi jam wib orang bertransaksi bank pengelolaan koperasi sp,5,Positif
aplikasi yg pemeliharaan,1,Negatif
bank nya pemeliharaan sistem mulu malam,1,Negatif
permiliharaan kebutuhan mendesak susah,2,Negatif
gabisa login mandiriobile,1,Negatif
min mbanking kena blokir,3,Positif
aneh kali masuk loading nya bgt sampe menit buka tutup aplikasi,1,Negatif
aplikasi mobile bankin instalbaru kali sebel sm aplikasi livindari log in muter sampe uninstal skalinya instal ulang verifikasi wajah gak bs udah kali kedip gak kedetect,1,Negatif
aplikasi mantap aman enteng,5,Positif
dijanjikan saldo ewallet rb masukin kode referal kode kantor cabang sales mandiri tahunya zonk,1,Negatif
tolong cepat dibenarkan error nya minggu,1,Negatif
buka livin jaringan data drop loading gk masuk menu livin reset jaringan data masuk mode pesawat restar hp matikan mode pesawatnya jaringan normal masuk lovin mengganggu butuh cepat transaksi mobile mbanking yg normal loh hp livin yg,3,Positif
lemot banget sumpah yaak livin mandiri dibuka,4,Positif
yah,4,Positif
aduh kalo masuk ajh loding nya bgt si muter muter daong ga tolong perbaiki lahh,2,Negatif
teman transfer uang gak masukk,2,Negatif
oktapi mengurangi saldo rekening laporkan polisi,5,Positif
tolong update dongmasa nggak lihat detail pengirimjadi bingung aja tu uang nya,5,Positif
terbantu kehidupan sehari,5,Positif
banget,5,Positif
susah bngt daftar livinnya perbaiki lahh,2,Negatif
bugnya kalo komplain respon gc kejelasan,1,Negatif
puas bagus mudah pengiriman uang,5,Positif
ga aplikasi livin kalo orang bikin online blok wajib kantor ga ngotak aplikasi mempermudah pembukaan rekening kantor aplikasi hapus aja kantor taun,1,Negatif
memvertifikasi ktp lengkap ngulang,1,Negatif
livin mandiri aman topup dana nomor berubah kirim no orang gak kenal,1,Negatif
parah login,1,Negatif
aplikasi gangguan berulangulang,1,Negatif
menyenangkan kasih aplikasi pinjam smoga lebihh,5,Positif
livin transaksi memasukan password suruh pengaturan jam,1,Negatif
serba adminya dana adminya va adminya pokonya adminya skrg mah,1,Negatif
scam aplikasih bodoh diribetin transfer doang pake jam bodoh kureng apknya,2,Negatif
lemot aplikasinya,1,Negatif
memudahkan terbantu investasi saham fitur beli saham e ipo,4,Positif
mahal udah sebulan bayar biaya transaksinya,1,Negatif
serba bayar admin,3,Positif
selfi mulu ga kena aneh gw mah livin ni kamera bagus ga deteksi,1,Negatif
ni livin eror yasekarang kurim qris pake foto gag,1,Negatif
livin by mandiri memudahkan urusan mantap pokoknya,5,Positif
verifikasi wajah susah bangetpayah,1,Negatif
layanan pengiriman kartu debit salah alamat gaada konfirmasi gamau bertanggung salahnya nasabah,1,Negatif
bgt udah terdaftar kali iniii daftr nasabah kalo daftar mbanking pake verifikasi wajah shock bgt cs nya aplikasi udh terdaftar udh rekening udh kartunya pdhl ga daftar mandiri livin bikin kartu gila mandiri ga aman bgt,1,Negatif
login aplikasi berhenti,3,Positif
informasi terkait pemgiriman kartu tolong developer diperbaiki,1,Negatif
alhamdulillah lancar sukses aamiin,5,Positif
juara bergerak berdampak juara,5,Positif
biaya adminnya mantabbb sekalii biaya admin,1,Negatif
lemot loading yidak terbuka signalnya yidak bagus ternya aplikasinya terbuka,1,Negatif
bank mandiri penah menawarkan pinjaman agunan aplikasi dngn syarat mudah cntoh bank neo sea bank jago menawarkan pinjaman hnya dngn ktp dn hnya memakai bank trsbut dpt mmbntu cpat menumbuhkan ekonomi,3,Positif
bagus mantapsemuar lancar kendala,5,Positif
aplikasi sampah verifikasi wajah sejam gagal,1,Negatif
aplikasi bagus bgt bukanya jaringan aplikasi yg normal normal aja emang aplikasinya aja busuk,1,Negatif
sya gagal privikasi wajah,5,Positif
sumpah livin tolol buka aplikasi lemotnya ampun,1,Negatif
aplikasi busuk gk buka gagal trs verifikasi identitas slalu gk klo gk gunain apus aja min aplikasi nya,1,Negatif
bagus,5,Positif
rusak kah aplikasi ni,1,Negatif
buruk pelayanan nya gak sesuai,1,Negatif
mksih mntul,5,Positif
min pas udah selesai nama pengguna sandi berubah bingung salah pencet perbarui masak sandi alamat rumah nama pengguna penghasilan tolong bantu bikin,3,Positif
makai livin udah kali qris tertunda saldo kepotong chat via email nunggu kerja gak kejelasan nyesel pakai livin gimna solusinyaa,1,Negatif
login nya banget,2,Negatif
login livin gabisa kemarin,1,Negatif
lancar aman,5,Positif
bagus,5,Positif
uang yg ngendap rb yg ny rb qris eror saldo nyangkut kembalikan krja gila sistem culas nama nya,1,Negatif
masuk susah bgt pas isi nomer hp isi kode otp gagal gagal tulisannya layanan tersedia tuh gimana min isi sesuai tata tolong diperbaiki udah berkali kali coba ga memperbaiki ulasan mandiri tetep ngga memperbaiki kesalahannya tolong min diperbaiki kalo dah bener kasih bintang bintang,1,Negatif
hp dukung handphone android,1,Negatif
gangguan mulu,1,Negatif
paylater mandiri nya,5,Positif
livin lola bgt ikh tulisan nya mengecek tunggu,1,Negatif
berulang ulang ferevikasi wajah daftar gagal pakai aplikasi livinnya,1,Negatif
update gak pake qris gagal mohon tanggapannya akun livin,1,Negatif
lovin by mandiri aplikasi yg bagus keuangan,5,Positif
suka susah qrnya suka gagal trus,3,Positif
ribet,1,Negatif
ga scan wajah,1,Negatif
sukses slalu mandiri,5,Positif
tolong aplikasi livin mandiri azrinaldi diaktifkan,5,Positif
online kantor pemakaian dipersulit login ulang menyebalkan menghubungi smpai pulsa habis rb tlp tetep aja gak bsa mengatasi ni aplikasi kenape dah,1,Negatif
banget loading nya dibandingkan aplikasi mobile banking jujur banget mandiri mohon diperbaiki,2,Negatif
senang livin by mandiri,4,Positif
mohon info nya mbanking nya blokir kartu debit aktifkan aktifkan nya gimana,5,Positif
login d coba kali,2,Negatif
mandiri joss,5,Positif
lelet buka aplikasi pertamaga kaya,2,Negatif
aplikasi gak milik bumn sakit mata verifikasi wajah kedip beribu kali gak masuk sinyal bagus lokasi aja gak aplikasi,1,Negatif
nggak mbanking nya aja nggak gangguan peningkatan verifikasi lancar disuruh kecabang,1,Negatif
bolak balek diinstal gk bs login langsung,1,Negatif
login nya apklikasi update jaringan internet bagus,1,Negatif
parah udah ngak dibuka,1,Negatif
terkendala susah login cuman muter muter doang pembayaran tarik tunai kartu susah karna aplikasi gk dibuka kejadian nya udah mohon diperbaiki,1,Negatif
knp aplikasi livin g dibuka,5,Positif
aplikasi livin knapa tdk dpt,1,Negatif
kendala aplikasi benerin cabang terdekat warujayeng nganjuk posisi kediri,1,Negatif
good,5,Positif
membantu,5,Positif
perbaiki verifikasi wajah susah susah susah susah susahsusah susah kalo ga bilang bank yg jelek kwalitas nya,1,Negatif
livin udah gak free yaa bayar tiktok shop shopee alfagift free bayar belanjaan biaya tambahan seribu sehari transaksi berkali lumayan ngeluarin biaya tambahannya aaahhh sebel dah ah,2,Negatif
bgs membantu keren pokoknya,4,Positif
pin blokir mulu suruh pin udah ubah tetep pin terblokir aneh,1,Negatif
gak kacau sistem operasi handphone mendukung livin aneh,1,Negatif
recommended,5,Positif
mohon maaf sy login langsung trs keterangan bug nya udah laporkan ajatidak,2,Negatif
maaf kak login perbaikan mulu langsung bank mandiri yh gimana kak kasih solusi yah,2,Negatif
bintang loading pas login jaringan internet ngebut aplikasi diupdate,1,Negatif
livin kocak ga masuk udah coba brpa kali ga kocak beng sgede gini aplikasi nyah lawak,1,Negatif
sulit buka,1,Negatif
aplikasi bagus mudah bertransaksi,5,Positif
livinby mandiri aman terpercaya,5,Positif
malam subuh gagal transaksi,1,Negatif
orang butuh ngirim uang kau asik nak pemeliharaan teruss ntah kau,1,Negatif
kesusahan top up ewallet pdhl nomor,2,Negatif
mandiri pakai sistim saldo mengendap fee nya tf bank tf nya pakai bi past bikin nyaman pakainya masak kalah si hijau si oren si unggu yg gratisan tf kemanapun semoga kedepannya si mandiri toleransi rakyat jelata simpan jta bukanya nambah bulanya malas simpan uwang,1,Negatif
baiknya notifikasi maintenance maintenance rutin berkala,1,Negatif
aplikasi nya bagus ngebug gimana ga tau top up dana kak nomorkita nahhh nomornya udh pas koknomor ditemukan gitu,4,Positif
jelekbanyak ganngguansungguh gak andalinmending pindah lainuang masukmau transfer susah loginaplikasi payah,1,Negatif
keren,5,Positif
verifikasi wajah gagal gagal capek kedap kedip,3,Positif
aplikasi buka knp,2,Negatif
mntap bos,3,Positif
tolong kak versi hp blm d upgrade gbsa buka livin ganti hp,1,Negatif
login banget,1,Negatif
tolong developer sensor verifikasi wajahnya disabilitas friendly ayah penyandang disabilitas netra susah proses verifikasi wajahnya udh ulang menerus mengikuti arahan arahan tp stuck menghadap kamera berkedip hey hello udh matanya keliatan susah berkedip udh diusahakan semaksimal alis kelopak mata bergerak kedipan aja ujung nya gagal habis blablablaa,1,Negatif
bumn payah call canter payah kalah bank,1,Negatif
tolonglah verifikasi wajahnya jgan persulitkita udah cape verifikasi gagal,1,Negatif
aplikasi ribet pas verifikasi wajah menyusah gagal,1,Negatif
livin aplikasi bank terbaik bank milik negara,5,Positif
perbaiki sistem finger print ga perbaiki sistem pw nya pas reset pw,3,Positif
mandiri tolol,1,Negatif
ribet login pakai kartunya nyesel daftar,1,Negatif
bagus gunakqn,5,Positif
akun log out,5,Positif
bank selevel mandiri bikin event penipuan udah livin point tuker tulisanya produk habis selevel bank nasional produk ga limit malu maluin,1,Negatif
kartu ny log in harusny log in dgn email no hp,1,Negatif
goof,5,Positif
saldo hangus rekomendasi,1,Negatif
knp susah banget buka living muter mulu bayar jdi susah malu nungguin tolong perbaiki sistem nya kya cepet,2,Negatif
pake mantap semoga inovatif,5,Positif
login aja susahnya ampun,1,Negatif
livin lengkap kemarin top up isaku alasan eror mengecewakan,1,Negatif
mohon infoaplikasi livin dibuka kemarin yaaa,4,Positif
apikkkkkkk,5,Positif
mantap pertahankan keamanan nya,5,Positif
membantu bangett daah,5,Positif
aplikasi nge down mulumau masuk aplikasi loading nya bgt,3,Positif
ga,1,Negatif
paylater dipake aneh ngasih paylater tp dipake cuman pajangan doang paylater cuman jt dipake batas yg ditentukan transaksi tembus m hadeuhh aneh mandiri parah,1,Negatif
tolong servernya perbaiki masuk gabisa muncul peringatan livin sistem operasi,2,Negatif
mudah praktis mntap livin,5,Positif
verifikasi berkedip bikin sakit mata,1,Negatif
aplikasi lemot parah sekelas bumn kalah sma swasta kocak lo parah,1,Negatif
verifikasi wajah mengganggu gani device error ga detek wajahnya kedip ribuan kali tetep gak sekalinya gak memproses notif jaringan nyambung internet tolong perbaiki cepat,1,Negatif
membantu bertransaksi digital,5,Positif
alhamdulillah pakai livin gak kendala,5,Positif
mempermudah,5,Positif
mempermudah pelayanan simpel praktisjos pokoe,5,Positif
membantu memudahkan bentuk transaksi terimakasih my livin life livin,5,Positif
praktis mudah,5,Positif
gak aplikasi gunain gak masuk belom berhasil terhubung sinyal aman sampah gak aplikasi,1,Negatif
udah diupdate gak transaksi top up,1,Negatif
aplikasi muter trs skrng udh update pdahal kya berat gtu aplikasi nya lemot mohon perbaiki,1,Negatif
burukapa jam malam pemeliharaanjangan tarif bank besarkan permasalahan gk benahi orang mati gara pemeliharaan,1,Negatif
pemelihara an trus kalok jak make livinaj hrus nunggu peak,1,Negatif
livin paylater aneh gk bsa pakai teruss,2,Negatif
biaya admin mandiri mahal transfer isi top up bayar belanja online mesti kena admin g yg free biaya admin kena,1,Negatif
kota aplikasi livin tolong perbaiki brimo bca mudah mandiri livin memblock nasabah nya aplikasi tolol,1,Negatif
sangan bagus aplikasi,5,Positif
loadingnya berat tolong perbaiki,4,Positif
komonikatif,5,Positif
verifikasi wajah buruk sulit dibaca mukanya,1,Negatif
update semestinya memudahkan bumn kalah swasta,2,Negatif
dibuka,1,Negatif
membantu,4,Positif
aplikasi perbaikan,5,Positif
bermanfaat,5,Positif
mantap,5,Positif
aktifasi visa platinum edisi spesial aktivasi pakai livin by mandiri kali coba kartu pajangan,1,Negatif
pas buka aplikasi livin ko loading ny bgt tlong perbaiki deh,1,Negatif
semoga livin by mandiri,5,Positif
bnget gabiasa dibuka pdahal lgi urgent tolong dibenerin lgi yaa,3,Positif
membantu perjalanan,5,Positif
muncul berhasil terhubung jaringan bagus buka aplikasi livin kuning bermasalah,1,Negatif
gk transaksi pas cobak login ulang gk perbaikan sistem tpi udah kecewa bgt,2,Negatif
menerima kartu status terkirim penerima kartu terima,2,Negatif
aneh banget aplikasi gak buka,1,Negatif
